month,feature_set,model,lasso__alpha,svr__C,svr__epsilon,svr__kernel,svr__gamma
2020-02-29,oil_augmented,MLR,,,,,
2020-02-29,oil_augmented,LASSO,0.01484968262254465,,,,
2020-02-29,oil_augmented,SVR,,1.0,0.1,linear,
2020-02-29,oil_augmented,XGBoost,,,,,
2020-03-31,oil_augmented,MLR,,,,,
2020-03-31,oil_augmented,LASSO,0.05994842503189409,,,,
2020-03-31,oil_augmented,SVR,,0.1,0.05,linear,
2020-03-31,oil_augmented,XGBoost,,,,,
2020-04-30,oil_augmented,MLR,,,,,
2020-04-30,oil_augmented,LASSO,0.05994842503189409,,,,
2020-04-30,oil_augmented,SVR,,0.1,0.05,linear,
2020-04-30,oil_augmented,XGBoost,,,,,
2020-05-31,oil_augmented,MLR,,,,,
2020-05-31,oil_augmented,LASSO,0.03351602650938841,,,,
2020-05-31,oil_augmented,SVR,,1.0,0.2,linear,
2020-05-31,oil_augmented,XGBoost,,,,,
2020-06-30,oil_augmented,MLR,,,,,
2020-06-30,oil_augmented,LASSO,0.03351602650938841,,,,
2020-06-30,oil_augmented,SVR,,1.0,0.2,linear,
2020-06-30,oil_augmented,XGBoost,,,,,
2020-07-31,oil_augmented,MLR,,,,,
2020-07-31,oil_augmented,LASSO,0.03351602650938841,,,,
2020-07-31,oil_augmented,SVR,,0.1,0.2,linear,
2020-07-31,oil_augmented,XGBoost,,,,,
2020-08-31,oil_augmented,MLR,,,,,
2020-08-31,oil_augmented,LASSO,0.0093260334688322,,,,
2020-08-31,oil_augmented,SVR,,0.1,0.2,linear,
2020-08-31,oil_augmented,XGBoost,,,,,
2020-09-30,oil_augmented,MLR,,,,,
2020-09-30,oil_augmented,LASSO,0.016681005372000592,,,,
2020-09-30,oil_augmented,SVR,,0.1,0.2,linear,
2020-09-30,oil_augmented,XGBoost,,,,,
2020-10-31,oil_augmented,MLR,,,,,
2020-10-31,oil_augmented,LASSO,0.013219411484660288,,,,
2020-10-31,oil_augmented,SVR,,0.1,0.2,linear,
2020-10-31,oil_augmented,XGBoost,,,,,
2020-11-30,oil_augmented,MLR,,,,,
2020-11-30,oil_augmented,LASSO,0.0210490414451202,,,,
2020-11-30,oil_augmented,SVR,,0.1,0.1,linear,
2020-11-30,oil_augmented,XGBoost,,,,,
2020-12-31,oil_augmented,MLR,,,,,
2020-12-31,oil_augmented,LASSO,0.01873817422860383,,,,
2020-12-31,oil_augmented,SVR,,0.1,0.1,linear,
2020-12-31,oil_augmented,XGBoost,,,,,
2021-01-31,oil_augmented,MLR,,,,,
2021-01-31,oil_augmented,LASSO,0.03351602650938841,,,,
2021-01-31,oil_augmented,SVR,,0.1,0.2,linear,
2021-01-31,oil_augmented,XGBoost,,,,,
2021-02-28,oil_augmented,MLR,,,,,
2021-02-28,oil_augmented,LASSO,0.026560877829466867,,,,
2021-02-28,oil_augmented,SVR,,0.1,0.1,linear,
2021-02-28,oil_augmented,XGBoost,,,,,
2021-03-31,oil_augmented,MLR,,,,,
2021-03-31,oil_augmented,LASSO,0.0093260334688322,,,,
2021-03-31,oil_augmented,SVR,,0.1,0.1,linear,
2021-03-31,oil_augmented,XGBoost,,,,,
2021-04-30,oil_augmented,MLR,,,,,
2021-04-30,oil_augmented,LASSO,0.0009111627561154887,,,,
2021-04-30,oil_augmented,SVR,,1.0,0.2,linear,
2021-04-30,oil_augmented,XGBoost,,,,,
2021-05-31,oil_augmented,MLR,,,,,
2021-05-31,oil_augmented,LASSO,0.01873817422860383,,,,
2021-05-31,oil_augmented,SVR,,0.1,0.05,linear,
2021-05-31,oil_augmented,XGBoost,,,,,
2021-06-30,oil_augmented,MLR,,,,,
2021-06-30,oil_augmented,LASSO,0.0001,,,,
2021-06-30,oil_augmented,SVR,,10.0,0.2,linear,
2021-06-30,oil_augmented,XGBoost,,,,,
2021-07-31,oil_augmented,MLR,,,,,
2021-07-31,oil_augmented,LASSO,0.013219411484660288,,,,
2021-07-31,oil_augmented,SVR,,0.1,0.2,linear,
2021-07-31,oil_augmented,XGBoost,,,,,
2021-08-31,oil_augmented,MLR,,,,,
2021-08-31,oil_augmented,LASSO,0.0001,,,,
2021-08-31,oil_augmented,SVR,,1.0,0.2,linear,
2021-08-31,oil_augmented,XGBoost,,,,,
2021-09-30,oil_augmented,MLR,,,,,
2021-09-30,oil_augmented,LASSO,0.0001,,,,
2021-09-30,oil_augmented,SVR,,0.1,0.2,linear,
2021-09-30,oil_augmented,XGBoost,,,,,
2021-10-31,oil_augmented,MLR,,,,,
2021-10-31,oil_augmented,LASSO,0.0001,,,,
2021-10-31,oil_augmented,SVR,,0.1,0.2,linear,
2021-10-31,oil_augmented,XGBoost,,,,,
2021-11-30,oil_augmented,MLR,,,,,
2021-11-30,oil_augmented,LASSO,0.0001,,,,
2021-11-30,oil_augmented,SVR,,1.0,0.2,linear,
2021-11-30,oil_augmented,XGBoost,,,,,
2021-12-31,oil_augmented,MLR,,,,,
2021-12-31,oil_augmented,LASSO,0.0001,,,,
2021-12-31,oil_augmented,SVR,,1.0,0.2,linear,
2021-12-31,oil_augmented,XGBoost,,,,,
2022-01-31,oil_augmented,MLR,,,,,
2022-01-31,oil_augmented,LASSO,0.0001,,,,
2022-01-31,oil_augmented,SVR,,1.0,0.2,linear,
2022-01-31,oil_augmented,XGBoost,,,,,
2022-02-28,oil_augmented,MLR,,,,,
2022-02-28,oil_augmented,LASSO,0.0001,,,,
2022-02-28,oil_augmented,SVR,,10.0,0.2,linear,
2022-02-28,oil_augmented,XGBoost,,,,,
2022-03-31,oil_augmented,MLR,,,,,
2022-03-31,oil_augmented,LASSO,0.0001,,,,
2022-03-31,oil_augmented,SVR,,10.0,0.2,linear,
2022-03-31,oil_augmented,XGBoost,,,,,
2022-04-30,oil_augmented,MLR,,,,,
2022-04-30,oil_augmented,LASSO,0.0001,,,,
2022-04-30,oil_augmented,SVR,,1.0,0.2,linear,
2022-04-30,oil_augmented,XGBoost,,,,,
2022-05-31,oil_augmented,MLR,,,,,
2022-05-31,oil_augmented,LASSO,0.0001,,,,
2022-05-31,oil_augmented,SVR,,1.0,0.2,linear,
2022-05-31,oil_augmented,XGBoost,,,,,
2022-06-30,oil_augmented,MLR,,,,,
2022-06-30,oil_augmented,LASSO,0.0001,,,,
2022-06-30,oil_augmented,SVR,,1.0,0.2,linear,
2022-06-30,oil_augmented,XGBoost,,,,,
2022-07-31,oil_augmented,MLR,,,,,
2022-07-31,oil_augmented,LASSO,0.0001,,,,
2022-07-31,oil_augmented,SVR,,1.0,0.2,linear,
2022-07-31,oil_augmented,XGBoost,,,,,
2022-08-31,oil_augmented,MLR,,,,,
2022-08-31,oil_augmented,LASSO,0.0001,,,,
2022-08-31,oil_augmented,SVR,,10.0,0.2,linear,
2022-08-31,oil_augmented,XGBoost,,,,,
2022-09-30,oil_augmented,MLR,,,,,
2022-09-30,oil_augmented,LASSO,0.0001,,,,
2022-09-30,oil_augmented,SVR,,10.0,0.2,linear,
2022-09-30,oil_augmented,XGBoost,,,,,
2022-10-31,oil_augmented,MLR,,,,,
2022-10-31,oil_augmented,LASSO,0.0001,,,,
2022-10-31,oil_augmented,SVR,,1.0,0.2,linear,
2022-10-31,oil_augmented,XGBoost,,,,,
2022-11-30,oil_augmented,MLR,,,,,
2022-11-30,oil_augmented,LASSO,0.026560877829466867,,,,
2022-11-30,oil_augmented,SVR,,1.0,0.2,linear,
2022-11-30,oil_augmented,XGBoost,,,,,
2022-12-31,oil_augmented,MLR,,,,,
2022-12-31,oil_augmented,LASSO,0.01484968262254465,,,,
2022-12-31,oil_augmented,SVR,,1.0,0.2,linear,
2022-12-31,oil_augmented,XGBoost,,,,,
2023-01-31,oil_augmented,MLR,,,,,
2023-01-31,oil_augmented,LASSO,0.029836472402833405,,,,
2023-01-31,oil_augmented,SVR,,1.0,0.2,linear,
2023-01-31,oil_augmented,XGBoost,,,,,
2023-02-28,oil_augmented,MLR,,,,,
2023-02-28,oil_augmented,LASSO,0.05994842503189409,,,,
2023-02-28,oil_augmented,SVR,,10.0,0.2,linear,
2023-02-28,oil_augmented,XGBoost,,,,,
2023-03-31,oil_augmented,MLR,,,,,
2023-03-31,oil_augmented,LASSO,0.05336699231206307,,,,
2023-03-31,oil_augmented,SVR,,10.0,0.2,linear,
2023-03-31,oil_augmented,XGBoost,,,,,
2023-04-30,oil_augmented,MLR,,,,,
2023-04-30,oil_augmented,LASSO,0.05336699231206307,,,,
2023-04-30,oil_augmented,SVR,,1.0,0.2,linear,
2023-04-30,oil_augmented,XGBoost,,,,,
2023-05-31,oil_augmented,MLR,,,,,
2023-05-31,oil_augmented,LASSO,0.04750810162102798,,,,
2023-05-31,oil_augmented,SVR,,10.0,0.2,linear,
2023-05-31,oil_augmented,XGBoost,,,,,
2023-06-30,oil_augmented,MLR,,,,,
2023-06-30,oil_augmented,LASSO,0.04750810162102798,,,,
2023-06-30,oil_augmented,SVR,,0.1,0.2,linear,
2023-06-30,oil_augmented,XGBoost,,,,,
2023-07-31,oil_augmented,MLR,,,,,
2023-07-31,oil_augmented,LASSO,0.07564633275546291,,,,
2023-07-31,oil_augmented,SVR,,10.0,0.2,linear,
2023-07-31,oil_augmented,XGBoost,,,,,
2023-08-31,oil_augmented,MLR,,,,,
2023-08-31,oil_augmented,LASSO,0.09545484566618337,,,,
2023-08-31,oil_augmented,SVR,,0.1,0.1,linear,
2023-08-31,oil_augmented,XGBoost,,,,,
2023-09-30,oil_augmented,MLR,,,,,
2023-09-30,oil_augmented,LASSO,0.05994842503189409,,,,
2023-09-30,oil_augmented,SVR,,0.1,0.1,linear,
2023-09-30,oil_augmented,XGBoost,,,,,
2023-10-31,oil_augmented,MLR,,,,,
2023-10-31,oil_augmented,LASSO,0.06734150657750822,,,,
2023-10-31,oil_augmented,SVR,,10.0,0.1,linear,
2023-10-31,oil_augmented,XGBoost,,,,,
2023-11-30,oil_augmented,MLR,,,,,
2023-11-30,oil_augmented,LASSO,0.06734150657750822,,,,
2023-11-30,oil_augmented,SVR,,10.0,0.1,linear,
2023-11-30,oil_augmented,XGBoost,,,,,
2023-12-31,oil_augmented,MLR,,,,,
2023-12-31,oil_augmented,LASSO,0.06734150657750822,,,,
2023-12-31,oil_augmented,SVR,,10.0,0.05,linear,
2023-12-31,oil_augmented,XGBoost,,,,,
2024-01-31,oil_augmented,MLR,,,,,
2024-01-31,oil_augmented,LASSO,0.06734150657750822,,,,
2024-01-31,oil_augmented,SVR,,1.0,0.2,linear,
2024-01-31,oil_augmented,XGBoost,,,,,
2024-02-29,oil_augmented,MLR,,,,,
2024-02-29,oil_augmented,LASSO,0.03351602650938841,,,,
2024-02-29,oil_augmented,SVR,,1.0,0.2,linear,
2024-02-29,oil_augmented,XGBoost,,,,,
2024-03-31,oil_augmented,MLR,,,,,
2024-03-31,oil_augmented,LASSO,0.023644894126454073,,,,
2024-03-31,oil_augmented,SVR,,1.0,0.1,linear,
2024-03-31,oil_augmented,XGBoost,,,,,
2024-04-30,oil_augmented,MLR,,,,,
2024-04-30,oil_augmented,LASSO,0.0210490414451202,,,,
2024-04-30,oil_augmented,SVR,,0.1,0.1,linear,
2024-04-30,oil_augmented,XGBoost,,,,,
2024-05-31,oil_augmented,MLR,,,,,
2024-05-31,oil_augmented,LASSO,0.026560877829466867,,,,
2024-05-31,oil_augmented,SVR,,0.1,0.1,linear,
2024-05-31,oil_augmented,XGBoost,,,,,
2024-06-30,oil_augmented,MLR,,,,,
2024-06-30,oil_augmented,LASSO,0.026560877829466867,,,,
2024-06-30,oil_augmented,SVR,,1.0,0.1,linear,
2024-06-30,oil_augmented,XGBoost,,,,,
2024-07-31,oil_augmented,MLR,,,,,
2024-07-31,oil_augmented,LASSO,0.026560877829466867,,,,
2024-07-31,oil_augmented,SVR,,10.0,0.1,linear,
2024-07-31,oil_augmented,XGBoost,,,,,
2024-08-31,oil_augmented,MLR,,,,,
2024-08-31,oil_augmented,LASSO,0.023644894126454073,,,,
2024-08-31,oil_augmented,SVR,,0.1,0.1,linear,
2024-08-31,oil_augmented,XGBoost,,,,,
2024-09-30,oil_augmented,MLR,,,,,
2024-09-30,oil_augmented,LASSO,0.01873817422860383,,,,
