model,lag_only_log_MSE,oil_augmented_log_MSE,lag_only_log_MAPE,oil_augmented_log_MAPE,Oil_gain_R2_vs_same_algorithm_lag_only,Common_R2_lag_only_vs_lag_only_MLR,Common_R2_oil_augmented_vs_lag_only_MLR,n_eval
MLR,0.5541173344626568,0.5412630887466476,10.693366673858312,10.6006147705032,0.02319769643819969,0.0,0.02319769643819969,74
LASSO,0.5539221295626261,0.5603610594204221,10.682184304153376,10.795379645411519,-0.011624250980693196,0.00035228080388405303,-0.0112678751763291,74
SVR,0.5801894693995162,0.579184705158097,10.905156740163479,11.021128817888096,0.001731786415322567,-0.047051650102486686,-0.0452383802786982,74
XGBoost,0.5645029398366749,0.5809718195037717,10.53648638613305,10.722718626208694,-0.029174125597754674,-0.018742610505208868,-0.048463535375872224,74
LSTM,,,,,,,,0
MeanComb,0.5563140913247977,0.5591266671522214,10.638835892003986,10.721721925072973,-0.005055733570806797,-0.003964425448395703,-0.009040202098030914,74
MedianComb,0.5593975942880709,0.5626114818857924,10.7009129046226,10.784908772860934,-0.005745265318510384,-0.00952913669545219,-0.015329149432534273,74
TrimmedMeanComb,0.5593975942880709,0.5626114818857924,10.7009129046226,10.784908772860934,-0.005745265318510384,-0.00952913669545219,-0.015329149432534273,74
DMSPE_1.0,0.5566599555300046,0.5599622146128471,10.643678695416344,10.726315372911511,-0.005932273464324123,-0.004588596871479389,-0.010548091147262628,74
DMSPE_0.9,0.5567713499600544,0.5600913258287133,10.643289675983635,10.727427950511666,-0.00596290715910075,-0.004789627272663077,-0.010781094534517255,74
